18500;.25 MILES FROM I-540;;DRY;DAYLIGHT;CLEAR;2015-10-15 14:49:00+00:00;2015
18506;300 FEET FROM PVA 885 WALNUT ST;;;;CLOUDY;2015-10-15 19:13:43+00:00;2015
18518;NEAR .25 MILES S OF S NC 55 HWY;COARSE ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2015-10-18 09:05:01+00:00;2015
18524;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-10-16 20:11:05+00:00;2015
18530;100 FEET FROM 973 N HARRISIN AVE;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2015-10-17 03:32:00+00:00;2015
18531;.09 MILES FROM SR-1009 (TRYON RD);SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2015-10-18 00:11:52+00:00;2015
18536;.10 MILES FROM (SR 1626) YATES STORE RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2015-10-19 00:22:16+00:00;2015
18537;75 FEET FROM PVA 1809 WALNUT ST;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2015-10-18 20:47:39+00:00;2015
18541;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-10-19 12:45:21+00:00;2015
18543;.1 MILES FROM US 64 HWY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2015-10-19 23:22:17+00:00;2015
18550;290 FEET FROM 2734 NC 55 HWY;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2015-10-18 14:26:00+00:00;2015
18551;30 FEET FROM PVA(7025 WINSTON HILL DR);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-10-19 12:54:46+00:00;2015
18566;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-10-20 20:07:24+00:00;2015
18570;.1 MILES FROM SR 1315 (BUCK JONES RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-10-20 20:46:22+00:00;2015
18571;75 FEET FROM PVA OF 1151 EXCECUTIVE CIR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2015-10-20 21:20:59+00:00;2015
18574;420 FEET FROM WESTON PKY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2015-10-21 00:03:35+00:00;2015
18578;30 FEET FROM FAIRFAX LN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-10-21 12:27:18+00:00;2015
22591;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-10 17:38:14+00:00;2016
22592;200 FEET FROM US 64 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-08 00:44:49+00:00;2016
22595;160 FEET FROM PVA OF 501 CAITBOO AVE;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-12 19:20:46+00:00;2016
22599;20 FEET FROM DONALDSON DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-10 18:35:34+00:00;2016
22604;NEAR .01 MILES S OF S LOUIS STEPHENS DR;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-06-11 06:23:05+00:00;2016
22607;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-11 13:13:51+00:00;2016
22612;.10 MILES FROM US 1 NORTH;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-10 02:04:00+00:00;2016
22616;.1 MILES FROM NC 55 HWY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2016-06-12 06:40:35+00:00;2016
22620;.10 MILES FROM ARTHUR PIERCE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-08 21:21:22+00:00;2016
22622;1 MILES FROM US 1;CONCRETE;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-06-08 04:12:00+00:00;2016
22636;20 FEET FROM SR#1600 (GREEN LEVEL CHURCH RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-13 20:00:55+00:00;2016
22638;200 FEET FROM P.V.A. (300 ASHVILLE AV);CONCRETE;DRY;DAYLIGHT;CLEAR;2016-06-13 21:36:46+00:00;2016
22642;20 FEET FROM NW MAYNARD RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-11 04:04:00+00:00;2016
22655;15 FEET FROM SILVERCLIFF DR;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-15 16:01:00+00:00;2016
22669;400 FEET FROM PVA AT 240 CROSSROADS BLD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-15 16:06:00+00:00;2016
22671;180 FEET FROM PVA 1315 KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-16 15:38:00+00:00;2016
22675;30 FEET FROM SR 1300 (KILDAIRE FARM RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-15 21:18:37+00:00;2016
22676;200 FEET FROM SR 1011 (E CHATHAM ST);SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;RAIN;2016-06-16 00:35:57+00:00;2016
22677;300 FEET FROM ROSEWALL LN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-16 18:14:37+00:00;2016
22686;50 FEET FROM P.V.A. (212 ASHVILLE AVE);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-16 21:05:22+00:00;2016
22687;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-16 02:33:00+00:00;2016
22696;75 FEET FROM WRENN DRIVE;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-17 16:15:00+00:00;2016
22705;12 FEET FROM PINEY PLAINS RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-06-19 06:43:06+00:00;2016
22708;10 FEET FROM SR 1313 (WALNUT ST);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-17 23:15:23+00:00;2016
22718;.15 MILES FROM PVA 207 WRENN DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-18 20:04:21+00:00;2016
22719;10 FEET FROM P.V.A. (590 E CHATHAM ST);SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-06-19 02:37:00+00:00;2016
22724;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-06-19 01:45:02+00:00;2016
22725;50 FEET FROM PVA (1205 NE MAYNARD RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-19 21:49:10+00:00;2016
22738;2 FEET FROM 1201 BUCK JONES RD (PVA);COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-20 18:30:01+00:00;2016
22739;350 FEET FROM PRESTON EXECUTIVE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-20 20:48:02+00:00;2016
22741;.15 MILES FROM US 1 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-20 21:28:27+00:00;2016
22756;.13 MILES FROM 8921 HOLLY SPRINGS RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2016-06-17 06:08:24+00:00;2016
22760;550 FEET FROM PVA 7145 OKELLY CHAPEL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-21 17:34:08+00:00;2016
22764;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-23 02:07:00+00:00;2016
22768;20 FEET FROM SR 1652 (N HARRISON AVE);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-22 23:21:53+00:00;2016
22770;CARY;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;RAIN;2016-06-23 04:47:00+00:00;2016
22780;100 FEET FROM SR 3977 (NW CARY PARKWAY);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-23 12:15:18+00:00;2016
22791;50 FEET FROM PVA 1393 KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-23 17:53:46+00:00;2016
22795;20 FEET FROM NC 54;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-22 13:55:06+00:00;2016
22796;CARY;;;;CLOUDY;2015-12-01 05:00:00+00:00;2015
22801;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-06-25 01:30:48+00:00;2016
22805;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-26 20:26:33+00:00;2016
22811;60 FEET FROM OKELLY CHAPEL RD (SR 1628);SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2016-06-23 22:43:07+00:00;2016
22813;34 FEET FROM PVA (204-212 CROSSROADS BLVD);SMOOTH ASPHALT;DRY;DUSK;CLEAR;2016-06-25 00:20:09+00:00;2016
22816;.09 MILES FROM PVA OF 2370 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-26 19:58:20+00:00;2016
22822;300 FEET FROM (SR-1415) SW MAYNARD RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-25 19:40:03+00:00;2016
22825;300 FEET FROM MADISON AV;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLOUDY;2016-06-26 10:35:08+00:00;2016
22827;323 FEET FROM SR 1298 (BUCK JONES RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-26 19:34:53+00:00;2016
22842;CARY;CONCRETE;DRY;DAYLIGHT;CLEAR;2016-06-27 22:17:31+00:00;2016
22845;.05 MILES FROM US 1 HWY OFF RAMP;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-27 21:55:22+00:00;2016
22855;150 FEET FROM GENTLEWOODS DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-28 19:31:19+00:00;2016
22861;CARY;CONCRETE;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-07-01 04:24:00+00:00;2016
22863;.1 MILES FROM P.V.A. 1000 UMSTEAD HOLLOW PL;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-30 21:23:27+00:00;2016
22867;.13 MILES FROM P.V.A. 210 HYDE PARK CT;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2016-07-01 00:16:07+00:00;2016
22868;.1 MILES FROM SR 1613 (DAVIS DR);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-29 17:46:23+00:00;2016
22876;0 FEET FROM E DURHAM ST;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-24 16:32:00+00:00;2016
22880;20 FEET FROM SR 1009 (TRYON RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-01 11:41:11+00:00;2016
22890;20 FEET FROM SR 1619 (WALDO ROOD BLVD);SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2016-06-28 13:28:06+00:00;2016
22891;0 FEET FROM SR 3112 (NW CARY PKWY);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-28 21:52:56+00:00;2016
22892;100 FEET FROM PVA OF 3000 RENAISSANCE PARK P;SMOOTH ASPHALT;DRY;OTHER *;CLEAR;2016-07-02 14:55:00+00:00;2016
22894;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-01 18:00:17+00:00;2016
22896;.03 MILES FROM LAKE PINE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-30 22:49:16+00:00;2016
22897;.02 MILES FROM KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-01 19:28:40+00:00;2016
22901;0.12 MILES FROM PVA (100 MACALYSON CT);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-06-29 20:12:33+00:00;2016
22904;350 FEET FROM PVA( 204 CROSSROADS BLVD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-01 20:52:13+00:00;2016
22914;20 FEET FROM SR #3977 (SE CARY PKWY);SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-07-05 02:31:00+00:00;2016
22924;.4 MILES FROM SR 1731 (OKELLY CHAPEL RD);COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-02 20:43:50+00:00;2016
22926;151 FEET FROM CHARLEVILLE CT;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-07-04 02:25:00+00:00;2016
22927;150 FEET FROM PVA (1105 WALNUT ST);SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-07-04 02:57:00+00:00;2016
22941;.2 MILES FROM PVA (624 APPLEDOWN DR);SMOOTH ASPHALT;DRY;UNKNOWN;CLEAR;2016-07-06 16:03:00+00:00;2016
22951;NEAR .2 MILES NE OF NE US 1 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-07 12:26:12+00:00;2016
22958;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-06 11:35:39+00:00;2016
22961;20 FEET FROM DAVIS DR SR 1613;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-07 19:42:29+00:00;2016
22963;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-08 22:17:28+00:00;2016
22965;200 FEET FROM SR1613 (HIGH HOUSE RD);COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-07 17:39:59+00:00;2016
22971;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-07-08 02:01:00+00:00;2016
22978;0 FEET FROM SR 3090 (WESTON PARKWAY);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-08 19:07:00+00:00;2016
22990;30 FEET FROM YMCA DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-11 22:30:40+00:00;2016
23002;.2 MILES FROM NC 55 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-13 11:39:57+00:00;2016
23003;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-08 22:55:42+00:00;2016
23004;30 FEET FROM PVA 1207 KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2016-07-14 02:13:00+00:00;2016
23008;CARY;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2016-07-14 01:47:34+00:00;2016
23009;CARY;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2016-07-14 02:10:00+00:00;2016
23013;300 FEET FROM CAITBOO AV;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-14 23:04:09+00:00;2016
23031;25 FEET FROM SR-1313 (WALNUT ST);SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2016-07-15 22:09:44+00:00;2016
23037;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-15 22:57:14+00:00;2016
23043;70 FEET FROM PVA 121 TEAM HENDRICK WAY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-17 14:10:00+00:00;2016
23047;15 FEET FROM CAITBOO AV;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-17 15:53:00+00:00;2016
23048;250 FEET FROM 8420-111 CHAPEL HILL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-16 10:47:45+00:00;2016
23054;.1 MILES FROM PVA 7145 OKELLY CHAPEL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-18 16:53:00+00:00;2016
23060;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-15 17:32:14+00:00;2016
23065;25 FEET FROM SR 1307 (E CHATHAM ST);SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;RAIN;2016-07-16 05:30:01+00:00;2016
23066;100 FEET FROM SR 1300 (KILDAIRE FARM RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-08 06:22:41+00:00;2016
23069;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-19 20:36:35+00:00;2016
23076;250 FEET FROM P.V.A. (1505 SW CARY PKWY);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-19 13:27:48+00:00;2016
23081;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-19 22:06:39+00:00;2016
23086;100 FEET FROM P.V.A. (1301 KILDAIRE FARM RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-20 17:40:18+00:00;2016
23087;.1 MILES FROM SR 1011 (E CHATHAM ST);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2016-07-21 16:34:00+00:00;2016
17580;200 FEET FROM P.V.A. (5859 TRYON RD);OTHER *;DRY;DARK - LIGHTED ROADWAY;CLEAR;2015-08-03 05:27:20+00:00;2015
17597;15 FEET FROM SR-1423 (PINEY PLAIN RD);SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2015-08-05 01:29:27+00:00;2015
17598;300 FEET FROM SR 1415 (SE MAYNARD RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-05 18:27:46+00:00;2015
17603;.10 MILES FROM ( SR 3073 ) NW MAYNARD RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-05 16:27:00+00:00;2015
17605;10 FEET FROM SR 1423 (PINEY PLAINS RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-05 17:16:39+00:00;2015
17610;200 FEET FROM PVA 7145 OKELLY CHAPEL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-07-31 23:26:43+00:00;2015
17619;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-08 22:58:17+00:00;2015
17622;200 FEET FROM CALLANDALE AV;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2015-08-07 19:31:11+00:00;2015
17623;100 FEET FROM SEABROOK AV;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2015-08-07 21:43:44+00:00;2015
17628;100 FEET FROM 3565 SW CARY PARKWAY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2015-08-08 02:12:00+00:00;2015
17629;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2015-08-08 02:37:00+00:00;2015
17632;200 FEET FROM NC 55 HWY;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2015-08-06 23:23:03+00:00;2015
17644;500 FEET FROM SR 1616 (OLD APEX RD);COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-09 19:33:05+00:00;2015
17645;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2015-08-10 14:20:00+00:00;2015
17649;CARY;;;;CLOUDY;2015-07-26 22:21:00+00:00;2015
17652;50 FEET FROM US 1 HWY;CONCRETE;WET;DARK - LIGHTED ROADWAY;RAIN;2015-08-08 01:08:26+00:00;2015
17657;.02 MILES FROM US 1 HWY;GROOVED CONCRETE;DRY;DAYLIGHT;CLOUDY;2015-08-11 18:33:05+00:00;2015
17659;40 FEET FROM (NC-54) NW MAYNARD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-12 13:45:02+00:00;2015
17660;.5 MILES FROM US1;SMOOTH ASPHALT;WET;DARK - ROADWAY NOT LIGHTED;CLOUDY;2015-08-08 07:48:56+00:00;2015
17674;50 FEET FROM SR 3977 (CARY PKWY);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-13 15:16:00+00:00;2015
17680;10 FEET FROM SR 1633 (GOOD HOPE CHURCH RD);SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2015-08-11 14:22:00+00:00;2015
17681;50 FEET FROM NC 55 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-12 12:52:48+00:00;2015
17683;1 MILES FROM SR1011 (E CHATHAM ST);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-13 22:52:29+00:00;2015
17687;5 FEET FROM SR-1009 TRYON RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-13 21:39:34+00:00;2015
17690;0 FEET FROM DAVIS DR SR 1613;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-13 14:11:00+00:00;2015
17698;30 FEET FROM SW CARY PARKWAY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-13 16:37:00+00:00;2015
17702;100 FEET FROM US1 EXIT 98 RAMP SB;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-15 15:58:00+00:00;2015
17703;150 FEET FROM SR 1652 (N. HARRISON AV);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-14 20:19:49+00:00;2015
17704;0 MILES FROM SR1349 (DILLARD DR);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-12 18:48:18+00:00;2015
17706;50 FEET FROM US 1;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2015-08-15 03:27:00+00:00;2015
17710;150 FEET FROM COLONADES WAY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-15 18:30:13+00:00;2015
17711;30 FEET FROM SR1009 (TRYON RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-16 23:10:23+00:00;2015
17713;200 FEET FROM PONY CLUB CIR (200 BLK);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-13 18:01:36+00:00;2015
17723;200 FEET FROM PVA (98 CORNERSTONE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-17 16:58:00+00:00;2015
17724;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-17 19:52:26+00:00;2015
17726;20 FEET FROM SR 1300 (KILDAIRE FARM RD.);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-17 20:03:23+00:00;2015
17727;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-17 20:39:05+00:00;2015
17737;100 FEET FROM SR 1747 (1920 NW MAYNARD RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-12 18:54:45+00:00;2015
17743;1.5 MILES FROM US1;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2015-08-18 11:38:16+00:00;2015
17755;CARY;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2015-08-20 23:58:41+00:00;2015
17757;0.3 MILES FROM US 1;GROOVED CONCRETE;DRY;DAYLIGHT;CLEAR;2015-08-21 02:45:00+00:00;2015
17773;100 FEET FROM SR 1300 (KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-21 13:18:11+00:00;2015
17778;.14 MILES FROM SR 1009 (TRYON RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-22 19:09:26+00:00;2015
17781;275 FEET FROM PVA 2010 KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-21 21:23:44+00:00;2015
17785;CARY;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-22 22:23:08+00:00;2015
17787;200 FEET FROM SR1415 (SE MAYNARD RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-21 18:39:34+00:00;2015
17790;800 FEET FROM DAVIS DR (1613);CONCRETE;DRY;DAYLIGHT;CLEAR;2015-08-21 23:09:02+00:00;2015
17809;CARY;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-24 18:36:47+00:00;2015
17814;.50 MILES FROM 801 BASS PRO LN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-24 17:31:52+00:00;2015
17820;140 FEET FROM 638 WALNUT ST;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-25 12:17:07+00:00;2015
17823;100 FEET FROM US 64 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-25 12:11:14+00:00;2015
17825;350 FEET FROM SR #1747 (NW MAYNARD RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-25 16:21:00+00:00;2015
17826;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-25 16:19:00+00:00;2015
17830;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-25 18:55:40+00:00;2015
17842;100 FEET FROM SR 1009 (6454 TRYON RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-25 22:10:15+00:00;2015
17844;.1 MILES FROM NC 54 (CHAPEL HILL RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-26 20:53:02+00:00;2015
17849;CARY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2015-08-26 01:17:00+00:00;2015
17850;500 FEET FROM GLEN ECHO LN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-27 02:51:00+00:00;2015
17858;0 FEET FROM SR3122 (LOUIS STEPHENS DR);SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2015-08-27 18:35:07+00:00;2015
17862;10 FEET FROM SR 1415 (SE MAYNARD RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-28 15:42:00+00:00;2015
17865;10 FEET FROM NC 55 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-28 16:10:00+00:00;2015
17868;.5 MILES FROM [SR1010]TEN TEN RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-25 23:50:05+00:00;2015
17872;30 FEET FROM SR 1633 (NEW HOPE CHURCH RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-28 12:12:19+00:00;2015
17874;300 FEET FROM SR 1747 (NW MAYNARD);SMOOTH ASPHALT;DRY;DAWN;CLEAR;2015-08-30 11:59:17+00:00;2015
17877;200 FEET FROM CARY PARKWAY(3977);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-26 12:39:38+00:00;2015
17887;200 FEET FROM P.V.A. (WALMART);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-29 19:21:11+00:00;2015
17911;50 FEET FROM SR 1313 (WALNUT ST.);SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2015-08-31 21:22:47+00:00;2015
17916;.25 MILES FROM SR- 1002;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-09-01 13:05:15+00:00;2015
17918;50 FEET FROM SR 1009 (TRYON RD);SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;FOG;2015-09-01 07:48:20+00:00;2015
17920;5 FEET FROM PVA 2500 CARPENTER UPCHURCH RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-08-28 21:16:16+00:00;2015
17927;75 FEET FROM US HWY 1;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-09-03 02:02:00+00:00;2015
17934;.02 MILES FROM NC 54 ( CHAPEL HILL RD);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2015-09-03 17:12:15+00:00;2015
